mode,code,date,grade,PT,TY,DN,DL,LK,SF,close,trigger,stop,risk,prbook_warn,triggered_5d,entry_5d,exit_5d,exit_date_5d,stopped_5d,r_5d,triggered_10d,entry_10d,exit_10d,exit_date_10d,stopped_10d,r_10d,triggered_20d,entry_20d,exit_20d,exit_date_20d,stopped_20d,r_20d,vol_ratio,mom20
prebreak,600727,2000-05-17,S,S,A,C,S,S,A,13.8919,13.21,12.57,0.64,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0.7617,0.05500980773647979
prebreak,000682,2000-12-01,S,S,A,C,S,S,A,15.7715,14.17,13.57,0.6,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0.3287,0.005549082810180739
prebreak,600076,2001-01-16,S,S,A,C,S,S,A,11.3986,11.85,11.24,0.61,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0.0878,0.6038117687985285
prebreak,600207,2001-03-28,S,S,A,C,S,S,A,16.8095,16.86,16.12,0.74,,1,16.86,16.4525,2001-04-04,0,-0.5676,1,16.86,16.12,2001-04-06,1,-1.0167,1,16.86,16.12,2001-04-06,1,-1.0167,3.4654,-0.018223144022454285
prebreak,600062,2009-09-01,S,S,A,C,S,S,A,10.8453,11.2,10.62,0.58,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,1.0592,-0.0073791463026814386
prebreak,600486,2009-11-19,S,S,A,C,S,S,A,10.7133,10.12,9.6,0.52,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,1.1181,0.028433790347579535
prebreak,600600,2009-12-10,S,S,A,C,S,S,A,27.737,28.67,27.18,1.49,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,1,28.67,28.0272,2010-01-08,0,-0.4458,1.7593,-0.007078433691557029
prebreak,000869,2010-02-26,S,S,A,C,S,S,A,40.7983,41.52,39.91,1.61,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,2.0433,0.06046935494396988
prebreak,600875,2010-04-20,S,S,A,C,S,S,A,19.6364,18.27,17.48,0.79,,1,18.27,20.9683,2010-04-27,0,3.3959,1,18.27,20.5366,2010-05-05,0,2.8497,1,18.27,18.27,2010-05-12,1,-0.0176,1.7382,0.019670041415838835
prebreak,601628,2010-04-20,S,S,A,C,S,S,A,20.7466,21.97,21.01,0.96,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,1.8185,0.672530520321698
prebreak,601628,2010-05-19,S,S,A,C,S,S,A,18.5667,20.19,19.32,0.87,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,3.0604,0.16955186191189564
prebreak,600150,2010-05-21,S,S,A,C,S,S,A,28.8019,30.23,29.03,1.2,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,3.7557,0.08801162322624245
prebreak,600685,2010-05-24,S,S,A,C,S,S,A,15.156,16.8,16.23,0.57,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,1.8994,0.15007729709883688
prebreak,601628,2010-05-26,S,S,A,C,S,S,A,18.1458,20.19,19.32,0.87,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,3.0604,0.16955186191189564
prebreak,601628,2010-06-02,S,S,A,C,S,S,A,18.1533,18.83,17.93,0.9,,0,0.0,0.0,,0,0.0,1,18.83,18.9876,2010-06-22,0,0.1592,1,18.83,19.5359,2010-07-06,0,0.7679,2.1475,0.016650798112172405
prebreak,600150,2010-06-04,S,S,A,C,S,S,A,28.7255,29.28,27.88,1.4,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,3.2853,0.04422741685160436
prebreak,600150,2010-06-11,S,S,A,C,S,S,A,28.2894,28.83,27.74,1.09,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,4.3485,0.05934621037210919
prebreak,600054,2010-08-05,S,S,A,C,S,S,A,11.486,11.51,11.01,0.5,,1,11.51,12.1582,2010-08-12,0,1.2781,1,11.51,12.2277,2010-08-19,0,1.4171,1,11.51,12.8884,2010-09-02,0,2.7376,2.9138,0.04976047718162313
prebreak,600600,2010-08-09,S,S,A,C,S,S,A,28.1021,28.01,26.57,1.44,,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,0,0.0,0.0,,0,0.0,1.1065,0.1172732640505727
